SpecID,PassNonPass,IOCOrder,BLFamilyLatin,BLFamilyEnglish,BLFamSequID,Taxo,Scientific,English,Diet-Inv,Diet-Vend,Diet-Vect,Diet-Vfish,Diet-Vunk,Diet-Scav,Diet-Fruit,Diet-Nect,Diet-Seed,Diet-PlantO,Diet-5Cat,Diet-Source,Diet-Certainty,Diet-EnteredBy,ForStrat-watbelowsurf,ForStrat-wataroundsurf,ForStrat-ground,ForStrat-understory,ForStrat-midhigh,ForStrat-canopy,ForStrat-aerial,PelagicSpecialist,ForStrat-Source,ForStrat-SpecLevel,ForStrat-EnteredBy,Nocturnal,BodyMass-Value,BodyMass-Source,BodyMass-SpecLevel,BodyMass-Comment,Record-Comment
28,Nonpasseriformes,Struthioniformes,Struthionidae,Ostriches,2,BL3,Struthio_camelus,Ostrich,10,0,0,0,10,0,0,0,30,50,PlantSeed,Ref_1,A,Jennifer,0,0,100,0,0,0,0,0,Ref_1,1,Jessica,0,111000,Dunning08,1,NA,NA
37,Nonpasseriformes,Rheiformes,Rheidae,Rheas,3,BL3,Rhea_americana,Greater Rhea,20,10,10,0,0,0,20,0,20,20,Omnivore,Ref_1,A,Jennifer,0,0,100,0,0,0,0,0,Ref_1,1,Jessica,0,23000,Dunning08,1,NA,NA
38,Nonpasseriformes,Rheiformes,Rheidae,Rheas,3,BL3,Rhea_pennata,Lesser Rhea,20,0,0,0,10,0,0,0,30,40,PlantSeed,Ref_1,A,Jennifer,0,0,100,0,0,0,0,0,Ref_1,1,Jessica,0,23900,Dunning08,1,NA,NA
45,Nonpasseriformes,Casuariiformes,Casuariidae,Cassowaries,4,BL3,Casuarius_casuarius,Southern Cassowary,10,0,0,0,10,0,80,0,0,0,FruiNect,Ref_1,A,Jennifer,0,0,80,20,0,0,0,0,Ref_1,1,Jessica,0,44000,Dunning08,1,NA,NA
46,Nonpasseriformes,Casuariiformes,Casuariidae,Cassowaries,4,BL3,Casuarius_bennetti,Dwarf Cassowary,10,0,0,0,10,0,80,0,0,0,FruiNect,Ref_1,B,Jennifer,0,0,80,20,0,0,0,0,Ref_1,1,Jessica,0,34999.99,Dunning08,1,NA,NA
47,Nonpasseriformes,Casuariiformes,Casuariidae,Cassowaries,4,BL3,Casuarius_unappendiculatus,Northern Cassowary,20,0,0,0,10,0,60,0,0,10,FruiNect,Ref_1,A,Jennifer,0,0,80,20,0,0,0,0,Ref_1,1,Jessica,0,46073.85,Dunning08,1,NA,NA
48,Nonpasseriformes,Casuariiformes,Dromaiidae,Emus,5,BL3,Dromaius_novaehollandiae,Emu,20,0,0,0,0,0,30,0,30,20,Omnivore,Ref_1,A,Jennifer,0,0,20,80,0,0,0,0,Ref_1,1,Jessica,0,34093.25,Dunning08,1,NA,NA
55,Nonpasseriformes,Apterygiformes,Apterygidae,Kiwis,6,BL3,Apteryx_australis,Southern Brown Kiwi,80,0,0,0,0,0,10,0,0,10,Invertebrate,Ref_1,A,Jennifer,0,0,100,0,0,0,0,0,Ref_1,1,Jessica,1,2320.51,Dunning08,1,NA,NA
57,Nonpasseriformes,Apterygiformes,Apterygidae,Kiwis,6,BL3,Apteryx_owenii,Little Spotted Kiwi,80,0,0,0,0,0,10,0,0,10,Invertebrate,Ref_1,A,Jennifer,0,0,80,20,0,0,0,0,Ref_1,1,Jessica,1,1238.29,Dunning08,1,NA,NA
58,Nonpasseriformes,Apterygiformes,Apterygidae,Kiwis,6,BL3,Apteryx_haastii,Great Spotted Kiwi,100,0,0,0,0,0,0,0,0,0,Invertebrate,Ref_1,A,Jennifer,0,0,80,20,0,0,0,0,Ref_1,1,Jessica,1,2022.68,Dunning08,1,NA,NA
65,Nonpasseriformes,Tinamiformes,Tinamidae,Tinamous,1,BL3,Tinamus_tao,Grey Tinamou,10,0,0,0,0,0,40,0,30,20,Omnivore,Ref_1,A,Jennifer,0,0,100,0,0,0,0,0,Ref_1,1,Jessica,0,1600.1,Dunning08,1,NA,NA
66,Nonpasseriformes,Tinamiformes,Tinamidae,Tinamous,1,BL3,Tinamus_solitarius,Solitary Tinamou,20,0,0,0,0,0,40,0,20,20,Omnivore,Ref_1,A,Jennifer,0,0,100,0,0,0,0,0,Ref_1,1,Jessica,0,1386.41,Dunning08,1,NA,NA
67,Nonpasseriformes,Tinamiformes,Tinamidae,Tinamous,1,BL3,Tinamus_osgoodi,Black Tinamou,0,0,0,0,0,0,50,0,40,10,Omnivore,Ref_1,D1,Jennifer,0,0,100,0,0,0,0,0,Genus,0,Walter,0,1285,Dunning08,1,NA,NA
68,Nonpasseriformes,Tinamiformes,Tinamidae,Tinamous,1,BL3,Tinamus_major,Great Tinamou,20,0,10,0,0,0,40,0,30,0,Omnivore,Ref_1,A,Jennifer,0,0,100,0,0,0,0,0,Ref_1,1,Jessica,0,1026.21,Dunning08,1,NA,NA
69,Nonpasseriformes,Tinamiformes,Tinamidae,Tinamous,1,BL3,Tinamus_guttatus,White-throated Tinamou,20,0,0,0,20,0,60,0,0,0,FruiNect,Ref_1,B,Jennifer,0,0,100,0,0,0,0,0,Ref_1,1,Jessica,0,686.18,Dunning08,1,NA,NA
70,Nonpasseriformes,Tinamiformes,Tinamidae,Tinamous,1,BL3,Nothocercus_bonapartei,Highland Tinamou,30,0,0,0,20,0,50,0,0,0,Omnivore,Ref_1,B,Jennifer,0,0,100,0,0,0,0,0,Ref_1,1,Jessica,0,763,Dunning08,1,NA,NA
71,Nonpasseriformes,Tinamiformes,Tinamidae,Tinamous,1,BL3,Nothocercus_julius,Tawny-breasted Tinamou,30,0,0,0,20,0,30,0,20,0,Omnivore,Ref_1,D1,Jennifer,0,0,100,0,0,0,0,0,Genus,0,Walter,0,674.5,GenAvg,0,NA,NA
72,Nonpasseriformes,Tinamiformes,Tinamidae,Tinamous,1,BL3,Nothocercus_nigrocapillus,Hooded Tinamou,0,0,0,0,0,0,0,0,100,0,PlantSeed,Ref_1,B,Jennifer,0,0,100,0,0,0,0,0,Ref_1,1,Jessica,0,586,PrimScale,1,MarceloR,NA
