study,TITLE,AUTHORS,YEAR,JOURNAL,health,condition,toxtype,ptype,stress2,SAMPLE_SIZE,EFFECT_DIRECTION,pval,r,yi,vi,rlower,rupper,yir,ott_id,host.species,host.class,aqterr,parasite2,close,nonclose,vector,intermediate,routes,mroute,mlat,mlon,udiff_1000,udiff_10000,uchange_1000,uchange_10000,umean_1000,umean_10000,COUNTRY,HFPm,gdpbill,compdist
1236,"Ectoparasite infestation patterns, haematology and serum biochemistry of urban-dwelling common brushtail possums",Webster et al.,2014,Wildlife Biology,parasites,NA,NA,Prevalence,NA,59,0,1,0,0,0.017857143,-0.256082276,0.256082276,0,836760,Trichosurus_vulpecula,mammals,terrestrial,Macroparasite,1,1,0,0,2,multiple,-33.825,150.625,0,0,0,0,NA,NA,Australia,3.35,926,135457
1236,"Ectoparasite infestation patterns, haematology and serum biochemistry of urban-dwelling common brushtail possums",Webster et al.,2014,Wildlife Biology,parasites,NA,NA,Prevalence,NA,59,-1,0.477,-0.228859352,-0.232985441,0.017857143,-0.458094183,0.028917699,-0.228859352,836760,Trichosurus_vulpecula,mammals,terrestrial,Macroparasite,0,1,0,0,1,single,-33.825,150.625,0,0,0,0,NA,NA,Australia,3.35,926,135457
1236,"Ectoparasite infestation patterns, haematology and serum biochemistry of urban-dwelling common brushtail possums",Webster et al.,2014,Wildlife Biology,parasites,NA,NA,Richness,NA,278,-1,0.2,-0.077042671,-0.077195647,0.003636364,-0.192936982,0.040971679,-0.077042671,836760,Trichosurus_vulpecula,mammals,terrestrial,Macroparasite,NA,NA,NA,NA,NA,NA,-33.825,150.625,0,0,0,0,NA,NA,Australia,3.35,926,135457
1236,"Ectoparasite infestation patterns, haematology and serum biochemistry of urban-dwelling common brushtail possums",Webster et al.,2014,Wildlife Biology,condition,Adjusted,NA,NA,NA,49,1,NA,0.200259449,0.203002828,0.02173913,-0.085766864,0.455789492,0.200259449,836760,Trichosurus_vulpecula,mammals,terrestrial,NA,NA,NA,NA,NA,NA,NA,-33.825,150.625,0,0,0,0,NA,NA,Australia,3.35,926,135457
1236,"Ectoparasite infestation patterns, haematology and serum biochemistry of urban-dwelling common brushtail possums",Webster et al.,2014,Wildlife Biology,parasites,NA,NA,Intensity,NA,16,-1,NA,-0.3006,-0.310179075,0.076923077,-0.693036621,0.229268388,-0.3006,836760,Trichosurus_vulpecula,mammals,terrestrial,Macroparasite,0,1,0,0,1,single,-33.825,150.625,0,0,0,0,NA,NA,Australia,3.35,926,135457
1236,"Ectoparasite infestation patterns, haematology and serum biochemistry of urban-dwelling common brushtail possums",Webster et al.,2014,Wildlife Biology,parasites,NA,NA,Intensity,NA,10,1,NA,0.063,0.063083548,0.142857143,-0.590030729,0.666200487,0.063,836760,Trichosurus_vulpecula,mammals,terrestrial,Macroparasite,0,1,0,0,1,single,-33.825,150.625,0,0,0,0,NA,NA,Australia,3.35,926,135457
1236,"Ectoparasite infestation patterns, haematology and serum biochemistry of urban-dwelling common brushtail possums",Webster et al.,2014,Wildlife Biology,parasites,NA,NA,Prevalence,NA,59,1,0.007852,0.63504876,0.749832075,0.017857143,0.452564696,0.766482091,0.63504876,836760,Trichosurus_vulpecula,mammals,terrestrial,Macroparasite,NA,NA,NA,NA,NA,NA,-33.825,150.625,0,0,0,0,NA,NA,Australia,3.35,926,135457
1236,"Ectoparasite infestation patterns, haematology and serum biochemistry of urban-dwelling common brushtail possums",Webster et al.,2014,Wildlife Biology,parasites,NA,NA,Prevalence,NA,59,-1,0.143,-0.32641075,-0.338805693,0.017857143,-0.537559499,-0.076743293,-0.32641075,836760,Trichosurus_vulpecula,mammals,terrestrial,Macroparasite,0,1,0,0,1,single,-33.825,150.625,0,0,0,0,NA,NA,Australia,3.35,926,135457
1326,Effects of breeding habitat (woodland versus urban) and metal pollution on the egg characteristics of great tits (Parus major),Hargitai et al.,2016,Science of the Total Environment,toxicants,NA,metal,NA,NA,39,-1,NA,-0.507220569,-0.558980439,0.027777778,-0.709234107,-0.228228455,-0.507220569,515143,Parus_major,birds,terrestrial,NA,NA,NA,NA,NA,NA,NA,47.591667,19.025,13.92091931,2.76004228,0,-2.199056624,9.995341879,9.791527852,Hungary,16.83,129.8,41181
1326,Effects of breeding habitat (woodland versus urban) and metal pollution on the egg characteristics of great tits (Parus major),Hargitai et al.,2016,Science of the Total Environment,toxicants,NA,metal,NA,NA,39,-1,0.07,-0.292416687,-0.301206883,0.027777778,-0.556582108,0.025448286,-0.292416687,515143,Parus_major,birds,terrestrial,NA,NA,NA,NA,NA,NA,NA,47.591667,19.025,13.92091931,2.76004228,0,-2.199056624,9.995341879,9.791527852,Hungary,16.83,129.8,41181
